fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	num_threads	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 030639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	838609	2	0.134210691363143	0.546768869776279	3473	403	8822	26200000	1
20221001 030716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	838609	2	0.17935590311914	0.619328557914123	1179	154	10047	25030000	2
20221001 030808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	838609	2	0.194514189256995	0.707598880305886	6612	575	6252	25020000	3
20221001 030841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	838609	2	0.203186886259646	0.94699599343352	2269	479	9024	25480000	4
20221001 030948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	838609	2	0.0618027940476895	0.258201211709529	1460	767	12784	25480000	5
20221001 031024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	838609	2	0.265749254219292	0.470698601379991	3147	547	9626	26270000	6
20221001 031258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	423	TRUE	838609	2	0.0463393409026903	0.678520246474072	5783	227	7626	26830000	7
20221001 031401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	838609	2	0.0996477945121587	0.565966473286971	6333	285	13889	24310000	8
20221001 031430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	838609	2	0.148909981201636	0.82805982530117	5526	705	8139	26290000	9
20221001 031500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	838609	2	0.288307425421022	0.360583180403337	7195	1005	12000	25600000	10
20221001 031545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	838609	2	0.153178921703424	0.779579925686121	685	820	12359	25290000	11
20221001 032102	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	838609	2	0.0121237505190657	0.294239447107539	7247	643	6670	25540000	12
20221001 032149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	838609	2	0.118914890694024	0.497663195403293	1656	110	10651	25980000	13
20221001 032217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	838609	2	0.223811749669781	0.865514380438253	4897	182	5260	23240000	14
20221001 032319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	838609	2	0.0770551685625687	0.418102180445567	4253	936	13070	24500000	15
20221001 032340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	838609	2	0.278772279955272	0.896525441119447	7815	898	11235	25290000	16
20221001 033219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	552	TRUE	838609	2	0.0200510760849575	0.73746889013797	218	462	5841	25600000	17
20221001 033250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	838609	2	0.253345456303621	0.220087529877201	3719	39	14287	23750000	18
20221001 033325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	838609	2	0.232215600115189	0.358565395819023	4748	866	7382	25720000	19
20221001 033408	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	838609	2	0.0926936782968114	0.994403510214761	2566	322	14749	23630000	20
20221001 033539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	838609	2	0.0456669986936506	0.419950041617261	4928	263	8555	25930000	21
20221001 033623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	838609	2	0.0747098784685384	0.829781440248441	6651	405	7544	25320000	22
20221001 033819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	838609	2	0.0463901971540399	0.511142153094537	5191	206	6243	25280000	23
20221001 034538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	766	TRUE	838609	2	0.00691307716050558	0.294898072581981	5661	519	7598	25610000	24
20221001 034825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	276	TRUE	838609	2	0.0125390434913793	0.7821100113088	6042	155	7728	25590000	25
20221001 035044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	457	TRUE	838609	2	0.0488187685018052	0.801396002443021	6176	237	7964	26480000	26
20221001 035419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	359	TRUE	838609	2	0.0132176119043668	0.25933558138274	5764	227	7616	26210000	27
20221001 035604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	249	TRUE	838609	2	0.0369455106219934	0.754353738785948	5107	250	7524	25840000	28
20221001 035725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	838609	2	0.063769410169096	0.604075902394932	5641	223	8073	26020000	29
20221001 035902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	838609	2	0.0389313945143713	0.640161210271114	7656	228	9663	26040000	30
20221001 035948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	838609	2	0.13340735247734	0.555087983430231	4142	716	9782	25720000	31
20221001 040022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	838609	2	0.170144211478698	0.825876374157574	3626	694	9010	25340000	32
20221001 040057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	838609	2	0.261676766903025	0.320312334161468	2396	528	9684	25520000	33
20221001 040125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	838609	2	0.288389066252212	0.623461264819283	3415	557	10301	25320000	34
20221001 040234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	838609	2	0.0425216144944971	0.901946484109699	5448	229	6246	25110000	35
20221001 040439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	838609	2	0.0600685025640873	0.405521989836976	6067	235	7698	25650000	36
20221001 040519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	838609	2	0.144784375444494	0.680875396412564	6061	241	7769	25990000	37
20221001 040622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	838609	2	0.0410788065220191	0.712381265198509	6362	227	8174	25660000	38
20221001 040715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	838609	2	0.10098450431822	0.682767661038262	5370	221	7572	26220000	39
20221001 040814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	838609	2	0.105777672938265	0.944262935070438	6245	225	7708	25950000	40
20221001 041858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2177	TRUE	838609	2	0.0092659662357215	0.712786389643376	6577	224	7602	2.6e+07	41
20221001 041949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	838609	2	0.228996461073791	0.569367605651537	3861	593	9612	25580000	42
20221001 042023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	838609	2	0.273552758415304	0.497072332803392	3251	493	9442	26160000	43
20221001 042146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	838609	2	0.118418252187726	0.498064271964087	4268	340	8675	25770000	44
20221001 042251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	838609	2	0.117661163489865	0.81576733202805	5590	628	8069	26350000	45
20221001 042335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	838609	2	0.138553420893061	0.842694948444946	5033	635	8253	25500000	46
20221001 042416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	838609	2	0.106705396426675	0.809224086461615	5646	697	7957	26170000	47
20221001 042734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	583	TRUE	838609	2	0.0271819815824261	0.64739277735455	5723	74	7588	26350000	48
20221001 042924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	838609	2	0.0484032083399514	0.658239552379598	5770	534	7676	26330000	49
20221001 043016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	838609	2	0.131239127259928	0.83932165197649	5978	240	8020	25480000	50
20221001 043128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	838609	2	0.0489241089671825	0.690392965670672	5794	67	8481	26400000	51
20221001 043303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	838609	2	0.0295859220012987	0.209764998191799	5736	36	7530	26140000	52
20221001 043419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	838609	2	0.0491901605309667	0.737064517771962	7697	32	7443	25120000	53
20221001 043833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	838609	2	0.0173411277389402	0.514908561912633	7643	83	9922	26240000	54
20221001 043916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	838609	2	0.154254752335326	0.592795093071568	5601	989	7335	26290000	55
20221001 043949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	838609	2	0.263535672321665	0.459369848935739	3942	977	8338	25330000	56
20221001 044038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	838609	2	0.116708527194729	0.598188496976876	5642	850	6650	25580000	57
