fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 075153	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	502	1	1	1	0.1	50	0.5	FALSE	838609	0.144815429786104	0.441071734635625	0.387343207152298	2.94596596967313	0.0483788036685132	18210	87100000	1
20221030 075702	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	1	0.1	50	0.5	FALSE	838609	0.107218549079698	0.684730677393964	0.796874046723678	6.95598784564936	0.0101990997519392	16033	93534000	2
20221030 075858	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	172	1	1	1	0.1	50	0.5	FALSE	838609	0.204580860145506	0.633095188383595	0.458456601016951	4.87484573990514	0.0472233219268982	16395	90330000	3
20221030 080916	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	502	1	1	1	0.1	50	0.5	FALSE	838609	0.0691057201231888	0.487988087243866	0.340352945419727	8.36624276850489	0.00372943565959093	15301	94758000	4
20221030 081253	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	0.1	50	0.5	FALSE	838609	0.0533438675780781	0.277118768438231	0.476301702552882	6.33878517861012	0.0457324450133722	16959	92482000	5
20221030 081918	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	695	1	1	1	0.1	50	0.5	FALSE	838609	0.218234819743957	0.328990344586782	0.644582867609279	3.5443453090702	0.0410021300352838	17440	9e+07	6
20221030 082047	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	0.1	50	0.5	FALSE	838609	0.16491150704649	0.506939877109835	0.241861075559427	1.03217041597236	0.0308944079306213	25	110000	7
20221030 082719	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	562	1	1	1	0.1	50	0.5	FALSE	838609	0.044507878900622	0.407363381181494	0.95696184476692	4.32155787438387	0.04625040605016	17429	91622000	8
20221030 091744	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	368	1	1	1	0.1	50	0.5	FALSE	838609	0.0193794292972598	0.608805266642594	0.724521838601504	11.7531867198559	0.00252368217093403	16907	94826000	9
20221030 092026	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	126	1	1	1	0.1	50	0.5	FALSE	838609	0.183780609558453	0.774527509190375	0.186713904723729	9.08179337378533	0.00839188704896406	16451	93418000	10
20221030 092446	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1357	1	1	1	0.1	50	0.5	FALSE	838609	0.243248389749642	0.7563631772995	0.853337942308281	2.00980065703334	0.0482552034642342	18036	83208000	11
20221030 093052	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	611	1	1	1	0.1	50	0.5	FALSE	838609	0.0923175004674704	0.24811651451455	0.123514254316251	9.46683800051687	0.00151064384125201	16782	93556000	12
20221030 093727	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	656	1	1	1	0.1	50	0.5	FALSE	838609	0.292560438028449	0.724010236409959	0.592959964543115	10.985691745067	6.6326145350593e-07	16077	91366000	13
20221030 094248	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	0.1	50	0.5	FALSE	838609	0.255420962233038	0.220169875407009	0.916650571123318	10.3338276617142	1.94711158779175e-06	15760	91440000	14
20221030 094622	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	0.1	50	0.5	FALSE	838609	0.270399957632035	0.357908198516816	0.0990764622176357	7.49560083603137	0.0196905230570072	18223	89794000	15
20221030 095536	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	813	1	1	1	0.1	50	0.5	FALSE	838609	0.12789347771497	0.572981324495049	0.575043979514157	5.24751142045716	0.0214193982983464	15485	92470000	16
20221030 095745	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	0.1	50	0.5	FALSE	838609	0.145821913465552	0.798879047754043	0.997232860168672	2.99664696170645	0.0453913159954628	18956	87608000	17
20221030 102407	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	774	1	1	1	0.1	50	0.5	FALSE	838609	0.0101502499542564	0.696501224619149	0.723620177979693	9.69093021386456	0.0129761333786393	16442	94156000	18
20221030 102831	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	0.1	50	0.5	FALSE	838609	0.207881485508011	0.205573194856535	0.817525694869242	8.77456338357599	6.75719853041264e-06	16004	93352000	19
20221030 110308	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3301	1	1	1	0.1	50	0.5	FALSE	838609	0.0102071325815949	0.200378010136208	0.0504005436563246	11.1436576225282	0.00513329891386797	15200	95760000	20
20221030 110642	1137	133228	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	268	1	1	1	0.1	50	0.5	FALSE	838609	0.248666600315414	0.200291966006829	0.0514553843567174	11.9986347685673	4.78667469450868e-06	16685	91750000	21
